"","page_id","NAME","ID","ALIGN","EYE","HAIR","SEX","LGBTQ","ALIVE","APPEARANCES","MONTH_FA","YEAR_FA","UNIVERSE"
"1",1678,"Spider-Man (Peter Parker)","Secret Identity","Good Characters","Hazel Eyes","Brown Hair","Male Characters",FALSE,"Living Characters",4043,"August",1962,"Marvel"
"2",7139,"Captain America (Steven Rogers)","Public Identity","Good Characters","Blue Eyes","White Hair","Male Characters",FALSE,"Living Characters",3360,"March",1941,"Marvel"
"3",64786,"Wolverine (James \""Logan\"" Howlett)","Public Identity","Neutral Characters","Blue Eyes","Black Hair","Male Characters",FALSE,"Living Characters",3061,"October",1974,"Marvel"
"4",1868,"Iron Man (Anthony \""Tony\"" Stark)","Public Identity","Good Characters","Blue Eyes","Black Hair","Male Characters",FALSE,"Living Characters",2961,"March",1963,"Marvel"
"5",2460,"Thor (Thor Odinson)","No Dual Identity","Good Characters","Blue Eyes","Blond Hair","Male Characters",FALSE,"Living Characters",2258,"November",1950,"Marvel"
"6",2458,"Benjamin Grimm (Earth-616)","Public Identity","Good Characters","Blue Eyes","No Hair","Male Characters",FALSE,"Living Characters",2255,"November",1961,"Marvel"
"7",2166,"Reed Richards (Earth-616)","Public Identity","Good Characters","Brown Eyes","Brown Hair","Male Characters",FALSE,"Living Characters",2072,"November",1961,"Marvel"
"8",1833,"Hulk (Robert Bruce Banner)","Public Identity","Good Characters","Brown Eyes","Brown Hair","Male Characters",FALSE,"Living Characters",2017,"May",1962,"Marvel"
"9",29481,"Scott Summers (Earth-616)","Public Identity","Neutral Characters","Brown Eyes","Brown Hair","Male Characters",FALSE,"Living Characters",1955,"September",1963,"Marvel"
"10",1837,"Jonathan Storm (Earth-616)","Public Identity","Good Characters","Blue Eyes","Blond Hair","Male Characters",FALSE,"Living Characters",1934,"November",1961,"Marvel"
"11",15725,"Henry McCoy (Earth-616)","Public Identity","Good Characters","Blue Eyes","Blue Hair","Male Characters",FALSE,"Living Characters",1825,"September",1963,"Marvel"
"12",1863,"Susan Storm (Earth-616)","Public Identity","Good Characters","Blue Eyes","Blond Hair","Female Characters",FALSE,"Living Characters",1713,"November",1961,"Marvel"
"13",7823,"Namor McKenzie (Earth-616)","No Dual Identity","Neutral Characters","Green Eyes","Black Hair","Male Characters",FALSE,"Living Characters",1528,NA,NA,"Marvel"
"14",2614,"Ororo Munroe (Earth-616)","Public Identity","Good Characters","Blue Eyes","White Hair","Female Characters",FALSE,"Living Characters",1512,"May",1975,"Marvel"
